ID,Label,Tweet
1,1,The new MacBook Pro is incredibly fast and efficient!
2,0,Battery life on the latest MacBook is a bad.
3,1,"MacBook's retina display is stunning, great for design work."
4,1,The touch bar on the MacBook Pro is a game changer.
5,1,The new MacBook Pro is incredibly fast and efficient!
6,1,"MacBook's build quality is unmatched, feels premium."
7,1,"MacBook's build quality is unmatched, feels premium."
8,0,"Switching to MacBook has been a great experience, so user-friendly."
9,0,Battery life on the latest MacBook is a bad.
10,0,"My MacBook keeps overheating, not what I expected."
11,1,"MacBook's build quality is unmatched, feels premium."
12,1,"MacBook's retina display is stunning, great for design work."
13,0,The new MacBook Pro is incredibly fast and efficient!
14,1,The new MacBook Pro is incredibly fast and efficient!
15,1,Wish the MacBook was more affordable.
16,1,Frustrated with the lack of ports on my MacBook.
17,0,Apple's customer service for my MacBook issue was unsatisfactory.
18,0,"Switching to MacBook has been a great experience, so user-friendly."
19,0,Frustrated with the lack of ports on my MacBook.
20,0,"MacBook's retina display is stunning, great for design work."
21,1,The new MacBook Pro is incredibly fast and efficient!
22,1,"My MacBook keeps overheating, not what I expected."
23,1,Frustrated with the lack of ports on my MacBook.
24,1,Wish the MacBook was more affordable.
25,0,Battery life on the latest MacBook is a bad.
26,1,"Switching to MacBook has been a great experience, so user-friendly."
27,1,The touch bar on the MacBook Pro is a game changer.
28,1,Wish the MacBook was more affordable.
29,0,Frustrated with the lack of ports on my MacBook.
30,1,Apple's customer service for my MacBook issue was unsatisfactory.
31,0,"My MacBook keeps overheating, not what I expected."
32,0,"MacBook's build quality is unmatched, feels premium."
33,0,Frustrated with the lack of ports on my MacBook.
34,1,Apple's customer service for my MacBook issue was unsatisfactory.
35,1,Apple's customer service for my MacBook issue was unsatisfactory.
36,0,The new MacBook Pro is incredibly fast and efficient!
37,1,"Switching to MacBook has been a great experience, so user-friendly."
38,0,Wish the MacBook was more affordable.
39,0,Battery life on the latest MacBook is a bad.
40,1,Battery life on the latest MacBook is a bad.
41,0,"MacBook's build quality is unmatched, feels premium."
42,0,"MacBook's build quality is unmatched, feels premium."
43,1,"MacBook's retina display is stunning, great for design work."
44,1,Apple's customer service for my MacBook issue was unsatisfactory.
45,1,"MacBook's build quality is unmatched, feels premium."
46,1,Frustrated with the lack of ports on my MacBook.
47,1,Frustrated with the lack of ports on my MacBook.
48,1,The new MacBook Pro is incredibly fast and efficient!
49,1,The touch bar on the MacBook Pro is a game changer.
50,1,"MacBook's retina display is stunning, great for design work."
51,0,"My MacBook keeps overheating, not what I expected."
52,0,The touch bar on the MacBook Pro is a game changer.
53,1,Apple's customer service for my MacBook issue was unsatisfactory.
54,0,Wish the MacBook was more affordable.
55,0,"Switching to MacBook has been a great experience, so user-friendly."
56,1,Battery life on the latest MacBook is a bad.
57,1,"MacBook's retina display is stunning, great for design work."
58,0,"MacBook's retina display is stunning, great for design work."
59,0,Apple's customer service for my MacBook issue was unsatisfactory.
60,0,"MacBook's retina display is stunning, great for design work."
61,1,"My MacBook keeps overheating, not what I expected."
62,0,The new MacBook Pro is incredibly fast and efficient!
63,1,Wish the MacBook was more affordable.
64,1,"MacBook's build quality is unmatched, feels premium."
65,1,"Switching to MacBook has been a great experience, so user-friendly."
66,0,Wish the MacBook was more affordable.
67,0,Frustrated with the lack of ports on my MacBook.
68,1,Apple's customer service for my MacBook issue was unsatisfactory.
69,0,"MacBook's build quality is unmatched, feels premium."
70,0,The touch bar on the MacBook Pro is a game changer.
71,0,Frustrated with the lack of ports on my MacBook.
72,0,"MacBook's retina display is stunning, great for design work."
73,0,The new MacBook Pro is incredibly fast and efficient!
74,1,"MacBook's retina display is stunning, great for design work."
75,1,Battery life on the latest MacBook is a bad.
76,1,"MacBook's retina display is stunning, great for design work."
77,0,"MacBook's build quality is unmatched, feels premium."
78,0,"My MacBook keeps overheating, not what I expected."
79,0,"MacBook's build quality is unmatched, feels premium."
80,0,Apple's customer service for my MacBook issue was unsatisfactory.
81,1,The new MacBook Pro is incredibly fast and efficient!
82,0,Apple's customer service for my MacBook issue was unsatisfactory.
83,0,"Switching to MacBook has been a great experience, so user-friendly."
84,0,The new MacBook Pro is incredibly fast and efficient!
85,1,"Switching to MacBook has been a great experience, so user-friendly."
86,1,Wish the MacBook was more affordable.
87,0,The new MacBook Pro is incredibly fast and efficient!
88,0,The touch bar on the MacBook Pro is a game changer.
89,1,Frustrated with the lack of ports on my MacBook.
90,1,Frustrated with the lack of ports on my MacBook.
91,0,Wish the MacBook was more affordable.
92,1,"MacBook's retina display is stunning, great for design work."
93,1,Frustrated with the lack of ports on my MacBook.
94,1,The new MacBook Pro is incredibly fast and efficient!
95,1,"MacBook's build quality is unmatched, feels premium."
96,1,Wish the MacBook was more affordable.
97,0,"My MacBook keeps overheating, not what I expected."
98,0,The new MacBook Pro is incredibly fast and efficient!
99,1,Battery life on the latest MacBook is a bad.
100,1,"Switching to MacBook has been a great experience, so user-friendly."
101,0,Battery life on the latest MacBook is a bad.
102,1,Wish the MacBook was more affordable.
103,1,Apple's customer service for my MacBook issue was unsatisfactory.
104,0,Battery life on the latest MacBook is a bad.
105,0,"My MacBook keeps overheating, not what I expected."
106,0,Frustrated with the lack of ports on my MacBook.
107,0,The new MacBook Pro is incredibly fast and efficient!
108,0,Wish the MacBook was more affordable.
109,0,The new MacBook Pro is incredibly fast and efficient!
110,1,Apple's customer service for my MacBook issue was unsatisfactory.
111,0,"Switching to MacBook has been a great experience, so user-friendly."
112,0,"MacBook's build quality is unmatched, feels premium."
113,0,"MacBook's build quality is unmatched, feels premium."
114,0,The touch bar on the MacBook Pro is a game changer.
115,1,"Switching to MacBook has been a great experience, so user-friendly."
116,0,Battery life on the latest MacBook is a bad.
117,0,"Switching to MacBook has been a great experience, so user-friendly."
118,0,"My MacBook keeps overheating, not what I expected."
119,0,The new MacBook Pro is incredibly fast and efficient!
120,0,"MacBook's build quality is unmatched, feels premium."
121,1,The new MacBook Pro is incredibly fast and efficient!
122,1,The new MacBook Pro is incredibly fast and efficient!
123,1,The touch bar on the MacBook Pro is a game changer.
124,1,"MacBook's retina display is stunning, great for design work."
125,1,"My MacBook keeps overheating, not what I expected."
126,0,The touch bar on the MacBook Pro is a game changer.
127,1,The touch bar on the MacBook Pro is a game changer.
128,0,"MacBook's build quality is unmatched, feels premium."
129,0,"My MacBook keeps overheating, not what I expected."
130,1,Frustrated with the lack of ports on my MacBook.
131,1,The new MacBook Pro is incredibly fast and efficient!
132,1,"Switching to MacBook has been a great experience, so user-friendly."
133,0,Frustrated with the lack of ports on my MacBook.
134,1,"MacBook's build quality is unmatched, feels premium."
135,0,Battery life on the latest MacBook is a bad.
136,0,Battery life on the latest MacBook is a bad.
137,1,"My MacBook keeps overheating, not what I expected."
138,0,"MacBook's retina display is stunning, great for design work."
139,1,The new MacBook Pro is incredibly fast and efficient!
140,1,Frustrated with the lack of ports on my MacBook.
141,0,Apple's customer service for my MacBook issue was unsatisfactory.
142,0,"Switching to MacBook has been a great experience, so user-friendly."
143,1,"MacBook's build quality is unmatched, feels premium."
144,0,Wish the MacBook was more affordable.
145,1,Apple's customer service for my MacBook issue was unsatisfactory.
146,1,Apple's customer service for my MacBook issue was unsatisfactory.
147,0,"MacBook's build quality is unmatched, feels premium."
148,0,"MacBook's build quality is unmatched, feels premium."
149,1,Frustrated with the lack of ports on my MacBook.
150,0,Wish the MacBook was more affordable.
151,0,Battery life on the latest MacBook is a bad.
152,1,Wish the MacBook was more affordable.
153,1,Wish the MacBook was more affordable.
154,0,The new MacBook Pro is incredibly fast and efficient!
155,1,Battery life on the latest MacBook is a bad.
156,0,Apple's customer service for my MacBook issue was unsatisfactory.
157,1,Battery life on the latest MacBook is a bad.
158,0,"MacBook's retina display is stunning, great for design work."
159,1,"My MacBook keeps overheating, not what I expected."
160,1,Battery life on the latest MacBook is a bad.
161,0,Frustrated with the lack of ports on my MacBook.
162,1,The new MacBook Pro is incredibly fast and efficient!
163,1,Battery life on the latest MacBook is a bad.
164,1,"My MacBook keeps overheating, not what I expected."
165,0,"Switching to MacBook has been a great experience, so user-friendly."
166,1,"MacBook's build quality is unmatched, feels premium."
167,0,The new MacBook Pro is incredibly fast and efficient!
168,1,The touch bar on the MacBook Pro is a game changer.
169,1,"My MacBook keeps overheating, not what I expected."
170,0,The touch bar on the MacBook Pro is a game changer.
171,0,"Switching to MacBook has been a great experience, so user-friendly."
172,1,The touch bar on the MacBook Pro is a game changer.
173,1,Frustrated with the lack of ports on my MacBook.
174,0,"My MacBook keeps overheating, not what I expected."
175,1,Frustrated with the lack of ports on my MacBook.
176,0,"MacBook's build quality is unmatched, feels premium."
177,1,"Switching to MacBook has been a great experience, so user-friendly."
178,0,Apple's customer service for my MacBook issue was unsatisfactory.
179,0,"MacBook's build quality is unmatched, feels premium."
180,1,Frustrated with the lack of ports on my MacBook.
181,0,"MacBook's build quality is unmatched, feels premium."
182,0,Frustrated with the lack of ports on my MacBook.
183,1,"MacBook's retina display is stunning, great for design work."
184,0,"MacBook's retina display is stunning, great for design work."
185,0,Frustrated with the lack of ports on my MacBook.
186,1,Frustrated with the lack of ports on my MacBook.
187,1,"MacBook's build quality is unmatched, feels premium."
188,0,Frustrated with the lack of ports on my MacBook.
189,1,"MacBook's build quality is unmatched, feels premium."
190,1,Apple's customer service for my MacBook issue was unsatisfactory.
191,1,Apple's customer service for my MacBook issue was unsatisfactory.
192,0,"MacBook's retina display is stunning, great for design work."
193,1,Apple's customer service for my MacBook issue was unsatisfactory.
194,1,"MacBook's build quality is unmatched, feels premium."
195,1,The touch bar on the MacBook Pro is a game changer.
196,0,Wish the MacBook was more affordable.
197,0,Wish the MacBook was more affordable.
198,0,Battery life on the latest MacBook is a bad.
199,0,Wish the MacBook was more affordable.
200,0,The touch bar on the MacBook Pro is a game changer.
201,1,"My MacBook keeps overheating, not what I expected."
202,0,Frustrated with the lack of ports on my MacBook.
203,0,Frustrated with the lack of ports on my MacBook.
204,0,The new MacBook Pro is incredibly fast and efficient!
205,0,"My MacBook keeps overheating, not what I expected."
206,1,The new MacBook Pro is incredibly fast and efficient!
207,0,"MacBook's build quality is unmatched, feels premium."
208,1,Frustrated with the lack of ports on my MacBook.
209,1,"MacBook's build quality is unmatched, feels premium."
210,0,"MacBook's build quality is unmatched, feels premium."
211,0,The touch bar on the MacBook Pro is a game changer.
212,0,The touch bar on the MacBook Pro is a game changer.
213,0,"MacBook's retina display is stunning, great for design work."
214,0,Apple's customer service for my MacBook issue was unsatisfactory.
215,0,"MacBook's retina display is stunning, great for design work."
216,1,The touch bar on the MacBook Pro is a game changer.
217,1,"MacBook's retina display is stunning, great for design work."
218,1,"MacBook's build quality is unmatched, feels premium."
219,0,The new MacBook Pro is incredibly fast and efficient!
220,0,Wish the MacBook was more affordable.
221,0,The touch bar on the MacBook Pro is a game changer.
222,0,"MacBook's retina display is stunning, great for design work."
223,0,Apple's customer service for my MacBook issue was unsatisfactory.
224,0,"MacBook's build quality is unmatched, feels premium."
225,1,"My MacBook keeps overheating, not what I expected."
226,0,Apple's customer service for my MacBook issue was unsatisfactory.
227,1,Frustrated with the lack of ports on my MacBook.
228,0,"MacBook's build quality is unmatched, feels premium."
229,0,Apple's customer service for my MacBook issue was unsatisfactory.
230,0,"MacBook's build quality is unmatched, feels premium."
231,1,"MacBook's retina display is stunning, great for design work."
232,1,The touch bar on the MacBook Pro is a game changer.
233,0,Frustrated with the lack of ports on my MacBook.
234,1,"My MacBook keeps overheating, not what I expected."
235,1,"Switching to MacBook has been a great experience, so user-friendly."
236,0,The touch bar on the MacBook Pro is a game changer.
237,0,"MacBook's build quality is unmatched, feels premium."
238,0,"My MacBook keeps overheating, not what I expected."
239,0,The new MacBook Pro is incredibly fast and efficient!
240,0,The touch bar on the MacBook Pro is a game changer.
241,0,The new MacBook Pro is incredibly fast and efficient!
242,1,Frustrated with the lack of ports on my MacBook.
243,1,Battery life on the latest MacBook is a bad.
244,1,Battery life on the latest MacBook is a bad.
245,0,The touch bar on the MacBook Pro is a game changer.
246,0,"Switching to MacBook has been a great experience, so user-friendly."
247,0,Apple's customer service for my MacBook issue was unsatisfactory.
248,0,"MacBook's retina display is stunning, great for design work."
249,1,"MacBook's build quality is unmatched, feels premium."
250,0,"MacBook's build quality is unmatched, feels premium."
251,0,The new MacBook Pro is incredibly fast and efficient!
252,0,Apple's customer service for my MacBook issue was unsatisfactory.
253,1,The touch bar on the MacBook Pro is a game changer.
254,1,"My MacBook keeps overheating, not what I expected."
255,1,"MacBook's build quality is unmatched, feels premium."
256,1,"My MacBook keeps overheating, not what I expected."
257,1,Battery life on the latest MacBook is a bad.
258,1,Wish the MacBook was more affordable.
259,1,Wish the MacBook was more affordable.
260,1,The new MacBook Pro is incredibly fast and efficient!
261,1,"MacBook's retina display is stunning, great for design work."
262,1,Battery life on the latest MacBook is a bad.
263,1,"My MacBook keeps overheating, not what I expected."
264,0,Battery life on the latest MacBook is a bad.
265,1,Battery life on the latest MacBook is a bad.
266,0,"My MacBook keeps overheating, not what I expected."
267,0,"My MacBook keeps overheating, not what I expected."
268,0,"MacBook's build quality is unmatched, feels premium."
269,1,"MacBook's retina display is stunning, great for design work."
270,1,The new MacBook Pro is incredibly fast and efficient!
271,0,The touch bar on the MacBook Pro is a game changer.
272,1,Wish the MacBook was more affordable.
273,1,The touch bar on the MacBook Pro is a game changer.
274,0,"MacBook's retina display is stunning, great for design work."
275,1,The touch bar on the MacBook Pro is a game changer.
276,0,"MacBook's build quality is unmatched, feels premium."
277,0,Frustrated with the lack of ports on my MacBook.
278,1,The new MacBook Pro is incredibly fast and efficient!
279,0,"My MacBook keeps overheating, not what I expected."
280,0,The touch bar on the MacBook Pro is a game changer.
281,0,"MacBook's retina display is stunning, great for design work."
282,1,"MacBook's build quality is unmatched, feels premium."
283,1,"My MacBook keeps overheating, not what I expected."
284,0,Apple's customer service for my MacBook issue was unsatisfactory.
285,1,"Switching to MacBook has been a great experience, so user-friendly."
286,0,The new MacBook Pro is incredibly fast and efficient!
287,1,"MacBook's build quality is unmatched, feels premium."
288,1,"Switching to MacBook has been a great experience, so user-friendly."
289,1,"Switching to MacBook has been a great experience, so user-friendly."
290,0,"MacBook's build quality is unmatched, feels premium."
291,0,"Switching to MacBook has been a great experience, so user-friendly."
292,1,Apple's customer service for my MacBook issue was unsatisfactory.
293,1,The touch bar on the MacBook Pro is a game changer.
294,0,Frustrated with the lack of ports on my MacBook.
295,1,"MacBook's build quality is unmatched, feels premium."
296,0,"My MacBook keeps overheating, not what I expected."
297,0,"Switching to MacBook has been a great experience, so user-friendly."
298,0,"Switching to MacBook has been a great experience, so user-friendly."
299,0,The touch bar on the MacBook Pro is a game changer.
300,1,The touch bar on the MacBook Pro is a game changer.
301,1,"MacBook's build quality is unmatched, feels premium."
302,1,"Switching to MacBook has been a great experience, so user-friendly."
303,1,Battery life on the latest MacBook is a bad.
304,0,The touch bar on the MacBook Pro is a game changer.
305,1,Battery life on the latest MacBook is a bad.
306,0,"Switching to MacBook has been a great experience, so user-friendly."
307,0,Apple's customer service for my MacBook issue was unsatisfactory.
308,1,Battery life on the latest MacBook is a bad.
309,0,"My MacBook keeps overheating, not what I expected."
310,0,"MacBook's retina display is stunning, great for design work."
311,1,Frustrated with the lack of ports on my MacBook.
312,0,"MacBook's build quality is unmatched, feels premium."
313,1,Battery life on the latest MacBook is a bad.
314,0,Battery life on the latest MacBook is a bad.
315,0,"MacBook's retina display is stunning, great for design work."
316,0,Wish the MacBook was more affordable.
317,1,Frustrated with the lack of ports on my MacBook.
318,1,"MacBook's build quality is unmatched, feels premium."
319,1,Frustrated with the lack of ports on my MacBook.
320,0,Wish the MacBook was more affordable.
321,0,Battery life on the latest MacBook is a bad.
322,1,"My MacBook keeps overheating, not what I expected."
323,1,Frustrated with the lack of ports on my MacBook.
324,1,"My MacBook keeps overheating, not what I expected."
325,0,"My MacBook keeps overheating, not what I expected."
326,0,Apple's customer service for my MacBook issue was unsatisfactory.
327,0,Apple's customer service for my MacBook issue was unsatisfactory.
328,1,The touch bar on the MacBook Pro is a game changer.
329,1,Apple's customer service for my MacBook issue was unsatisfactory.
330,1,"MacBook's build quality is unmatched, feels premium."
331,1,"Switching to MacBook has been a great experience, so user-friendly."
332,0,"Switching to MacBook has been a great experience, so user-friendly."
333,1,The new MacBook Pro is incredibly fast and efficient!
334,0,"My MacBook keeps overheating, not what I expected."
335,1,"MacBook's build quality is unmatched, feels premium."
336,0,Apple's customer service for my MacBook issue was unsatisfactory.
337,1,"MacBook's build quality is unmatched, feels premium."
338,0,"MacBook's retina display is stunning, great for design work."
339,0,Wish the MacBook was more affordable.
340,0,"MacBook's retina display is stunning, great for design work."
341,0,The new MacBook Pro is incredibly fast and efficient!
342,0,The touch bar on the MacBook Pro is a game changer.
343,1,Wish the MacBook was more affordable.
344,1,Apple's customer service for my MacBook issue was unsatisfactory.
345,0,"MacBook's retina display is stunning, great for design work."
346,1,"MacBook's retina display is stunning, great for design work."
347,1,Wish the MacBook was more affordable.
348,0,"Switching to MacBook has been a great experience, so user-friendly."
349,0,The new MacBook Pro is incredibly fast and efficient!
350,0,The new MacBook Pro is incredibly fast and efficient!
351,1,Battery life on the latest MacBook is a bad.
352,0,"My MacBook keeps overheating, not what I expected."
353,0,Wish the MacBook was more affordable.
354,0,Wish the MacBook was more affordable.
355,0,The touch bar on the MacBook Pro is a game changer.
356,0,Apple's customer service for my MacBook issue was unsatisfactory.
357,1,"My MacBook keeps overheating, not what I expected."
358,0,The touch bar on the MacBook Pro is a game changer.
359,0,"MacBook's build quality is unmatched, feels premium."
360,1,"My MacBook keeps overheating, not what I expected."
361,1,The new MacBook Pro is incredibly fast and efficient!
362,1,"My MacBook keeps overheating, not what I expected."
363,0,The new MacBook Pro is incredibly fast and efficient!
364,1,Battery life on the latest MacBook is a bad.
365,1,Battery life on the latest MacBook is a bad.
366,0,The new MacBook Pro is incredibly fast and efficient!
367,1,"My MacBook keeps overheating, not what I expected."
368,0,Wish the MacBook was more affordable.
369,0,The new MacBook Pro is incredibly fast and efficient!
370,0,Wish the MacBook was more affordable.
