ID,Label,Tweet
1,0,Really disappointed with my iPhone's battery life.
2,1,"Love my new iPhone, it's amazing!"
3,0,"Love my new iPhone, it's amazing!"
4,0,"iPhone's design is sleek and elegant, a big fan!"
5,1,Miss the headphone jack on the iPhone.
6,1,Experiencing a lot of glitches with my iPhone.
7,1,The camera on the iPhone is top-notch.
8,0,Miss the headphone jack on the iPhone.
9,0,Experiencing a lot of glitches with my iPhone.
10,0,Miss the headphone jack on the iPhone.
11,1,unhappy with the latest iPhone update.
12,1,Experiencing a lot of glitches with my iPhone.
13,1,Experiencing a lot of glitches with my iPhone.
14,0,Really disappointed with my iPhone's battery life.
15,1,Miss the headphone jack on the iPhone.
16,0,The camera on the iPhone is top-notch.
17,1,"Love my new iPhone, it's amazing!"
18,1,Not satisfied with the customer service for my iPhone.
19,1,Experiencing a lot of glitches with my iPhone.
20,0,Really disappointed with my iPhone's battery life.
21,1,Experiencing a lot of glitches with my iPhone.
22,0,unhappy with the latest iPhone update.
23,1,"Switched to iPhone recently, best decision ever!"
24,0,unhappy with the latest iPhone update.
25,1,"Switched to iPhone recently, best decision ever!"
26,0,unhappy with the latest iPhone update.
27,1,"iPhone's performance is incredible, so fast!"
28,0,Miss the headphone jack on the iPhone.
29,1,Really disappointed with my iPhone's battery life.
30,1,"iPhone's design is sleek and elegant, a big fan!"
31,0,unhappy with the latest iPhone update.
32,0,Not satisfied with the customer service for my iPhone.
33,0,Really disappointed with my iPhone's battery life.
34,1,unhappy with the latest iPhone update.
35,0,"iPhone's design is sleek and elegant, a big fan!"
36,1,Not satisfied with the customer service for my iPhone.
37,0,Experiencing a lot of glitches with my iPhone.
38,1,Not satisfied with the customer service for my iPhone.
39,1,Experiencing a lot of glitches with my iPhone.
40,0,"iPhone's performance is incredible, so fast!"
41,0,"iPhone's performance is incredible, so fast!"
42,1,The camera on the iPhone is top-notch.
43,0,"Switched to iPhone recently, best decision ever!"
44,1,"iPhone's performance is incredible, so fast!"
45,0,Not satisfied with the customer service for my iPhone.
46,1,"Love my new iPhone, it's amazing!"
47,1,"Love my new iPhone, it's amazing!"
48,1,"iPhone's design is sleek and elegant, a big fan!"
49,1,Miss the headphone jack on the iPhone.
50,0,Experiencing a lot of glitches with my iPhone.
51,0,Miss the headphone jack on the iPhone.
52,0,"Switched to iPhone recently, best decision ever!"
53,0,"Switched to iPhone recently, best decision ever!"
54,1,Not satisfied with the customer service for my iPhone.
55,0,Not satisfied with the customer service for my iPhone.
56,1,"iPhone's design is sleek and elegant, a big fan!"
57,1,"iPhone's design is sleek and elegant, a big fan!"
58,1,Not satisfied with the customer service for my iPhone.
59,0,The camera on the iPhone is top-notch.
60,1,The camera on the iPhone is top-notch.
61,1,"iPhone's performance is incredible, so fast!"
62,1,Really disappointed with my iPhone's battery life.
63,1,"Switched to iPhone recently, best decision ever!"
64,0,unhappy with the latest iPhone update.
65,1,"Switched to iPhone recently, best decision ever!"
66,1,"Switched to iPhone recently, best decision ever!"
67,1,unhappy with the latest iPhone update.
68,0,"iPhone's performance is incredible, so fast!"
69,0,The camera on the iPhone is top-notch.
70,0,unhappy with the latest iPhone update.
71,1,The camera on the iPhone is top-notch.
72,0,"iPhone's performance is incredible, so fast!"
73,0,"Switched to iPhone recently, best decision ever!"
74,0,Miss the headphone jack on the iPhone.
75,0,Experiencing a lot of glitches with my iPhone.
76,1,Really disappointed with my iPhone's battery life.
77,0,"Switched to iPhone recently, best decision ever!"
78,1,unhappy with the latest iPhone update.
79,1,unhappy with the latest iPhone update.
80,1,"iPhone's design is sleek and elegant, a big fan!"
81,0,Really disappointed with my iPhone's battery life.
82,1,Miss the headphone jack on the iPhone.
83,0,"Love my new iPhone, it's amazing!"
84,1,Miss the headphone jack on the iPhone.
85,1,"Love my new iPhone, it's amazing!"
86,0,Miss the headphone jack on the iPhone.
87,1,Really disappointed with my iPhone's battery life.
88,0,"Switched to iPhone recently, best decision ever!"
89,0,Experiencing a lot of glitches with my iPhone.
90,0,"iPhone's performance is incredible, so fast!"
91,0,"iPhone's design is sleek and elegant, a big fan!"
92,1,"Love my new iPhone, it's amazing!"
93,1,"Love my new iPhone, it's amazing!"
94,0,"iPhone's performance is incredible, so fast!"
95,0,unhappy with the latest iPhone update.
96,1,"Love my new iPhone, it's amazing!"
97,1,"Love my new iPhone, it's amazing!"
98,1,The camera on the iPhone is top-notch.
99,0,The camera on the iPhone is top-notch.
100,1,"iPhone's performance is incredible, so fast!"
101,0,Not satisfied with the customer service for my iPhone.
102,1,unhappy with the latest iPhone update.
103,1,unhappy with the latest iPhone update.
104,1,Experiencing a lot of glitches with my iPhone.
105,0,"Switched to iPhone recently, best decision ever!"
106,0,unhappy with the latest iPhone update.
107,0,"iPhone's design is sleek and elegant, a big fan!"
108,1,Miss the headphone jack on the iPhone.
109,1,"Love my new iPhone, it's amazing!"
